name	webpage	institution	country	address	lat	long	exp_theor	fields	people	atom	comment
Becker Group	http://jilawww.colorado.edu/beckergroup/	JILA, Boulder	United States of America		40.0074363	-105.2686481	Theory	My research interests are related to the theoretical analysis and numerical simulation of ultrafast processes in atoms, molecules and clusters interacting with intense laser pulses. Laser systems currently generate light pulses with field strengths exceeding that of the Coulomb field within an atom or molecule. Pulse durations are as short as a few femtoseconds (10-15 sec) or even less in the attosecond regime, which correspond to the time scales of electron and nuclear dynamics in materials. My group pursues theoretical studies on the coherent control of chemical reactions, the observation of correlated electron dynamics in atoms and molecules, the imaging of molecular dynamics, and the propagation of ultrashort intense laser pulses. We often work in close collaboration with experimental groups.		theory	
Bhattacherjee Group	http://people.du.ac.in/~aranya/	ARSD College, University of Delhi	India		28.591266	77.167563	Theory	Currently I am looking into the opto-mechanical properties of Bose-Einstein condensates in optical cavities. Particularly how the condensate modes can couple to the cavity mode and the mirror mode. I am also looking into the aspect of the use of BEC to detect weak forces. Other aspects that I am looking into is the parametric excitations of BEC.		theory	
Bigelow Group	http://www.pas.rochester.edu/~catgroup	University of Rochester	United States of America		43.1305531	-77.6260033	Exp/Theory	BEC, cold molecules, atom chips, non-linear optics		NaCs, Rb	
Birkl Group	http://www.physik.tu-darmstadt.de/apq/apq_start.html	Technische Universität Darmstadt	Germany		49.874778	8.65614	Exp/Theory	Quantum Optics, Atomic Physics, and Quantum Dynamics		Rb?	New webpage http://www.iap.tu-darmstadt.de/apq/ .
Blakie Group	http://www.physics.otago.ac.nz/research/uca/index.html	Otago	New Zealand		-45.4790671	170.1547567	Theory			theory	Redirects to the whole deprtment of physics. See also other groups at Otago.
Bloch Group	http://www.quantum-munich.de/	LMU/MPQ Munich	Germany		48.2596644	11.666723	Exp	Ultracold quantum gases in optical lattices		Sr, Li, Yb, Rb, K, NaK	See also http://ultracold.sr/ (webpage of one of the labs. Cool domain).
Bohn Group	http://grizzly.colorado.edu/~bohn/	JILA, Boulder	United States of America		40.0074363	-105.2686481	Theory	My primary research centers on the theory of collisions between trapped atoms and molecules in a dilute gas at milliKelvin temperatures and below. In this novel energy regime, tiny energy splittings (due, for instance, to magnetic interactions or molecular rotations) dominate the collision dynamics. My goal is to unravel these delicate energy exchanges and assess their response to external electromagnetic fields. More broadly, I'm looking for novel approaches to understanding collective motions of many-body quantum-mechanical systems such as electrons in an atom or semiconductor device or atoms in a Bose-Einstein condensate.		theory	
Bongs Group	http://mpa.ac.uk/muarc/people/kaibongs.html	University of Birmingham	United Kingdom		52.4508168	-1.9305135	Exp	Optical lattices,, Bose-Fermi mixtures,, optical clock.		Rb	See also: Bongs group, Boyer group, Goldwin group.
Boshier Group	http://quantum.lanl.gov	Los Alamos National Laboratory	United States of America		35.8440582	-106.287162	Exp			unknown	
Bouchoule Group	https://www.lcf.institutoptique.fr/Groupes-de-recherche/Optique-atomique	Institut d'Optique	France		48.71374	2.2034927	Exp/Theory			He, Rb	See also Aspect group, Bouchoule group, Bourdel group, Cheneau group, Clement group, Westbrook group.
Bourdel Group	https://www.lcf.institutoptique.fr/Groupes-de-recherche/Optique-atomique	Laboratoire Charles Fabry, Institut d'Optique	France		48.71374	2.2034927	Exp		Alain ASPECT (Professeur chaire Augustin Fresnel de l'IOGS, Directeur de recherche émérite CNRS), Denis BOIRON (Professeur IOGS-U.Psud), Isabelle BOUCHOULE (Chargée de recherche CNRS),        Thomas BOURDEL (Chargé de recherche CNRS),        Philippe BOUYER (Directeur de recherche CNRS),        Marc CHENEAU (Chargé de recherche CNRS),        David CLEMENT (Maitre de conférence IOGS-U.Psud),        Vincent JOSSE (Maitre de conférence IOGS-U.Psud),        Laurent SANCHEZ-PALENCIA (Chercheur CR au CNRS et Prof. CC à l'Ecole Polytechnique),        Christoph WESTBROOK (Directeur de recherche CNRS,, group leader)	He, Rb	See also Aspect group, Bouchoule group, Bourdel group, Cheneau group, Clement group, Westbrook group.
Bouyer Group	http://www.lp2n.fr	Institut d'Optique Bordeaux	France		44.8297507	-0.5566616	Exp	BEC, Quantum simulators, Atom Interferometry	P. Bouyer, B. Battelier, A. Bertoldi	Rb, Sr, RbK	Webpage for the whole institut. https://www.coldatomsbordeaux.org/ is a better website.
Boyer Group	http://mpa.ac.uk/muarc/people/vincentboyer.html	University of Birmingham	United Kingdom		52.4508168	-1.9305135	Exp	Quantum images,, quantum memories.		Rb	See also: Bongs group, Boyer group, Goldwin group.
Bradley Group	http://www.physics.otago.ac.nz/research/btg/	University of Otago	New Zealand		-45.8646835	170.5144227	Theory	Non-equilibrium superfluids, quantum vortices, two-dimensional quantum turbulence, stochastic Gross-Piteavskii theory, c-fields.		theory	
Brand Group	http://ctcp.massey.ac.nz/~brand	Massey University Auckland	New Zealand		-36.7323894	174.7027411	Theory	Nonlinear waves / solitons in Bose-Einstein condensates, low-dimensional and strongly interacting quantum gases, many-body theory, dynamics of few-particle systems		theory	
Brantut Group	lqg.epfl.ch	EPFL	Switzerland		46.5190557	6.5667576	Exp	Lithium, transport and dynamics		Li	The webpage on the updated UCAN doesn't work (30.03.2018).
Caldas Group	http://www.ufsj.edu.br/dcnat/heron_caldas_ingles.php	UFSJ	Brazil		-21.1233834	-44.2512157	Theory	Theoretical studies on ultracold imbalanced Fermi gases.	Heron Caldas, André Mota, Lizardo Nunes, Ricardo Farias.	theory	
Carr Group	http://www.mines.edu/~lcarr/	Colorado School of Mines	United States of America		39.7510136	-105.2225705	Theory	Complex quantum systems and nonlinear dynamics in both fermionic and bosonic ultracold quantum gases.  In particular, quantum phase transitions, optical lattices, macroscopic quantum tunnelling, matter-wave solitons and vortices, the BCS-BEC crossover, and rotating systems.		theory	
Cassettari Group	http://www.st-andrews.ac.uk/coldatoms	University of St Andrews	United Kingdom		56.3416934	-2.7927522	Exp	Ultracold Rubidium in flexible, holographic potentials	Dr Donatella Cassettari	Rb	
Chapman Group	http://www.physics.gatech.edu/ultracool/base.htm	Georgia Inst. of Technology	United States of America		33.7756178	-84.396285	Exp			unknown	Webpage doesn't work (19.02.2018).
Chen Group	http://www.physics.purdue.edu/quantum/	Purdue University	United States of America		40.423681	-86.921366	Exp			unknown	
Chen Group	http://zimp.zju.edu.cn/~qchen/	Zhejiang University	China		30.263944	120.123279	Theory	Fermi gas superfluidity and related physics, optical lattice and quantum simulation	Qijin Chen	theory	
Cheneau Group	https://www.lcf.institutoptique.fr/Groupes-de-recherche/Optique-atomique	Institut d'Optique, Laboratoire Charles Fabry	France		48.71374	2.2034927	Exp		Alain ASPECT (Professeur chaire Augustin Fresnel de l'IOGS, Directeur de recherche émérite CNRS), Denis BOIRON (Professeur IOGS-U.Psud), Isabelle BOUCHOULE (Chargée de recherche CNRS),        Thomas BOURDEL (Chargé de recherche CNRS),        Philippe BOUYER (Directeur de recherche CNRS),        Marc CHENEAU (Chargé de recherche CNRS),        David CLEMENT (Maitre de conférence IOGS-U.Psud),        Vincent JOSSE (Maitre de conférence IOGS-U.Psud),        Laurent SANCHEZ-PALENCIA (Chercheur CR au CNRS et Prof. CC à l'Ecole Polytechnique),        Christoph WESTBROOK (Directeur de recherche CNRS,, group leader)	He, Rb	See also Aspect group, Bouchoule group, Bourdel group, Cheneau group, Clement group, Westbrook group.
Chevy Group	http://www.lkb.ens.fr/-Ultracold-Fermi-gases-	LKB ENS Paris	France		48.8422058	2.3451689	Exp/Theory			Rb, Li, Dy, Yb, Na, He, Sr	See also Chevy group, Cohen-Tannoudji group, Gerbier group, Glorieux group, Leduc group, Reichel group, Salomon group.
Chin Group	http://ultracold.uchicago.edu/homepage/	University of Chicago	United States of America		41.7886079	-87.5987133	Exp	Ultracold Atoms and Molecules		Cs, LiCs	
Clark Group	http://physics.nist.gov/eopd	NIST Gaithersburg	United States of America		39.1380532	-77.2208339	Theory	Bose-Einstein condensation, coherent matter-wave and quantum information rocessing metrology, and diverse research in the Electron and Optics Physics Division. See web pages for more details.	Charles Clark,, William Reinhardt	theory	Webpage doesn't work (19.02.2018).
Clement Group	https://www.lcf.institutoptique.fr/Groupes-de-recherche/Optique-atomique	Institut d'Optique, Laboratoire Charles Fabry	France		48.71374	2.2034927	Exp		Alain ASPECT (Professeur chaire Augustin Fresnel de l'IOGS, Directeur de recherche émérite CNRS), Denis BOIRON (Professeur IOGS-U.Psud), Isabelle BOUCHOULE (Chargée de recherche CNRS),        Thomas BOURDEL (Chargé de recherche CNRS),        Philippe BOUYER (Directeur de recherche CNRS),        Marc CHENEAU (Chargé de recherche CNRS),        David CLEMENT (Maitre de conférence IOGS-U.Psud),        Vincent JOSSE (Maitre de conférence IOGS-U.Psud),        Laurent SANCHEZ-PALENCIA (Chercheur CR au CNRS et Prof. CC à l'Ecole Polytechnique),        Christoph WESTBROOK (Directeur de recherche CNRS,, group leader)	He, Rb	See also Aspect group, Bouchoule group, Bourdel group, Cheneau group, Clement group, Westbrook group.
Close/Robins Group	http://atomlaser.anu.edu.au/	ANU, Canberra	Australia		-35.2776999	149.118527	Exp			Rb	
Clougherty Group	http://www.uvm.edu/physics/dpc/	University of Vermont	United States of America		44.4778528	-73.1964637	Theory	Interaction of ultracold atoms and molecules with surfaces.  Many-body effects in quantum sticking and scattering of ultracold atoms from surfaces.		theory	
Cooper Group	http://www.tcm.phy.cam.ac.uk/~nrc25/	University of Cambridge	United Kingdom		52.2042666	0.1149085	Theory			theory	
Cornell Group	http://jilawww.colorado.edu/bec/CornellGroup/index.html	JILA, Boulder	United States of America		40.0074363	-105.2686481	Exp		Pam Leland	Rb, K	
Cornish Group	http://massey.dur.ac.uk/	Durham University	United Kingdom		54.7649859	-1.5782029	Exp	Bose-Einstein condensation with tunable interactions and two species mixtures of quantum degnerate Bose gases.		Rb, CsYb, Ca, RbCs, Sr	See also: Adams group, Cornish group, Gardiner group, Hughes group, Hutson group, Parker group, Proukakis group.
Cundiff Group	http://jilawww.colorado.edu/~cundiffs/	JILA, Boulder	United States of America		40.0074363	-105.2686481	Exp	Ultrafast optics is my primary research interest. In particular, I study the interaction of ultrashort pulses of light with semiconductors. In direct-gap semiconductors, such as gallium arsenide, the coherent optical response is determined by many-body interactions among electronic carriers excited by the incident pulses.		unknown	
Dalibard Group	http://www.college-de-france.fr/site/en-jean-dalibard/	College de France	France		48.8488839	2.3454896	Exp			unknown	
Damski Group	None	Jagiellonian University	Poland		50.060987	19.933964	Exp/Theory			unknown	
Danshita Group	None	Kyoto University	Japan		35.0262444	135.7808218	Exp/Theory			unknown	
Davidson Group	http://www.weizmann.ac.il/complex/NirDavidson/	Weizmann Institute	Israel		31.9045055	34.8083407	Exp	Bose-Einstein CondensateNew optical trapsPrecision spectroscopyAtomic opticsDiffractive (holographic) optical elements		unknown	
Davis Group	http://www.physics.uq.edu.au/people/mdavis/	University of Queensland	Australia		-27.4954306	153.0120301	Theory	Quantum and atom optics, quantum dynamics, condensate formation, low-dimensional systems, soliton and vortex formation, simulation techniques, computational physics.	Matthew Davis	theory	
DeMarco Group	http://www.uiuc.edu/~bdemarco	University of Illinois at Urbana-Champaign	United States of America		40.1052159	-88.2259205	Exp			Rb, K	
DeMille Group	http://www.yale.edu/demillegroup/	Yale	United States of America		41.3163244	-72.9223431	Exp/Theory	Cold molecules and precision measurement	Sidney Cahn	RbCs, SrF	SrF are actually molecules that are cooled (in contrast to producing molecules from cooled atoms).
Denschlag Group	http://www.uni-ulm.de/en/nawi/qm.html	Universität Ulm	Germany		48.4222305	9.955582	Exp	Ultracold molecules, atom-ion hybrid systems, fermions in lattices.	Johannes Hecker Denschlag	Rb, Li	Also Ba+ or Rb+ mixed with Rb.
Dieckmann Group	http://qmatter.quantumlah.org/	Centre for Quantum Technologies, National University of Singapore	Singapore		1.297155	103.78031	Exp			LiK, Rb	
Dijkhuis/van der Straten Group	http://www1.phys.uu.nl/wwwaoud/	Utrecht University	Netherlands		52.0901527	5.1226018	Exp	Atom Optics and Ultrafast Dynamics: nonlinear interactions in condensed matter physics and atomic physics of light waves, acoustic waves and matter waves, using modern laser techniques (femtosecond light pulses and laser cooling). Examples are Bose-Einstein condensation, quantum-phase transitions of ultracold atoms in optical lattices, nonlinear optics of photonic crystals, and formation of solitons.		unknown	Webpage redirects to the whole institute (17.02.2017).
Doyle Group	http://www.doylegroup.harvard.edu	Harvard University	United States of America		42.3770029	-71.1166601	Exp	Trapping and cooling of atoms and molecules using cryogenic buffer-gas loading.		molecules	Molecules include CaF, SF6. Also ultracold neutrons, laser-less cooling…
Duan Group	http://www-personal.umich.edu/~lmduan/	University of Michigan	United States of America		42.2780436	-83.7382241	Theory	Theoretical quantum optics and quantum information.		theory	
Duine Group	http://www.phys.uu.nl/~duine/	Utrecht	Netherlands		52.0907374	5.1214201	Theory			theory	Webpage redirects to the whole institute (17.02.2017).
Dulieu Group	http://www.lac.u-psud.fr/spip.php?rubrique324&lang=fr	Laboratoire Aime Cotton, CNRS, Orsay	France		48.707153	2.1725587	Theory	Molecular structure calculations of neutral and charged diatomics,, photoassociation,, cold collisions,, coherent control of cold collisions,, long-range interactions between atoms and molecules		Rb, Er, theory	Hard to find english pages. See also Dulieu group, Pillet group.
Dumke Group	http://www1.spms.ntu.edu.sg/~rdumke/	Nanyang Technological University	Singapore		1.3483099	103.6831347	Exp	Quantum Optics, Atomic Physics, and Quantum Dynamics		Rb	
Edler Group	None	Hannover	Germany		52.3758916	9.7320104	Exp/Theory			unknown	
Engels Group	http://www.physics.wsu.edu/Research/engels/index.html	Washington State University	United States of America		46.7319225	-117.1542121	Exp			Rb, K	
Ertmer Group	http://www.iqo.uni-hannover.de/ertmer/index.html	Hannover, University of	Germany		52.3829641	9.7196989	Exp			unknown	Webpage seem broken (16.02.2018).
Esslinger Group	http://www.quantumoptics.ethz.ch/	ETH Zurich	Switzerland		47.376313	8.5476699	Exp			K, Rb, Li	
Feder Group	http://www.iqis.org/people/home/dfeder/	University of Calgary	Canada		51.0781599	-114.1358007	Theory	Theory of ultracold bosons and fermions,, superfluidity,, vortices,, implementations of quantum logic with ultracold atoms	David Feder	theory	
Ferlaino Group	http://www.uibk.ac.at/exphys/ultracold/projects/erbium/index.html	Univ. Innsbruck	Austria		47.2633542	11.3838006	Exp	Ultracold erbium atoms		Er	
Fernholz Group	http://coldatomsgroupnottingham.com	University of Nottingham	United Kingdom		52.938636	-1.1951582	Exp		Thomas Fernholz	Rb	
Ferrari Group	http://bec.science.unitn.it/	INO-CNR and University of Trento	Italy		46.069477	11.121046	Exp	Spontaneous creation of solitons. We use ultracold atoms at the BEC transition to explore the Kibble-Zurek mechanism by directly observing the creation of phase defects, such as solitons in elongated condensates, for temperature quenched BECs of sodium atoms.                Dipolar quantum gases of NaK molecules	Gabriele Ferrari, Giacomo Lamporesi	Na, NaK	Location of University of Trento. See also Ferrari group, Stringari group.
Fertig Group	http://www.physast.uga.edu/~cfertig/	University of Georgia	United States of America		33.9480053	-83.3773221	Exp	Bose-Einstein Condensates for Atomic and Condensed Matter Physics.		unknown	Webpage doesn't work (19.02.2018).
Fischer Group	http://phya.snu.ac.kr/fischer	Seoul National University	South Korea		37.459882	126.9519053	Theory			theory	
Folman Group	http://www.bgu.ac.il/atomchip/	Ben Gurion University	Israel		31.262218	34.801461	Exp	Atom chips		Rb	
Foot Group	http://www-matterwave.physics.ox.ac.uk/	Oxford	United Kingdom		51.7520209	-1.2577263	Exp			unknown	Webpage doesn't work (15.02.2018).
Freegarde/Himsworth Group	http://phyweb.phys.soton.ac.uk/quantum/research.php	University of Southampton	United Kingdom		50.9362845	-1.3980303	Exp/Theory	Our research uses coherent, pulsed interactions and spatially-varying dipole forces, is both experimental and theoretical, and ranges from atom interferometry and quantum computation, to optical tweezers, optically-induced self-organization and cavity-mediated cooling. We also explore underpinning technologies and techniques from laser modulation, stabilization and the design and analysis of resonant enhancement cavities, to miniature pumps, atom sources and optical components for integrated atom chips, and we collaborate closely with colleagues in nanofabrication to explore the use of nanostructured surfaces for atomic manipulation.	Tim Freegarde and Matt Himsworth	Rb	
Fromhold Group	http://www.nottingham.ac.uk/%7Eppzkab/ColdAtoms/	University of Nottingham	United Kingdom		52.938636	-1.1951582	Theory			theory	
Gadway Group	http://publish.illinois.edu/gadwaylab/	University of Illinois at Urbana-Champaign	United States of America		40.1052159	-88.2259205	Exp			Rb	
Gardiner Group	http://massey.dur.ac.uk/	Durham University	United Kingdom		54.7649859	-1.5782029	Theory	BEC theory, quantum chaos, atom optics		Rb, CsYb, Ca, RbCs, Sr, theory	See also: Adams group, Cornish group, Gardiner group, Hughes group, Hutson group, Parker group, Proukakis group.
Garreau Group	http://www-phlam.univ-lille1.fr/perso/garreau/	PhLAM, Université Lille 1	France		50.6114114	3.1406038	Exp/Theory	Quantum chaos, quantum transport, optical lattices, cold atom dynamics, chaos in Bose-Einstein condensates		unknown	Hard to find english pages.
Gasenzer Group	http://www.thphys.uni-heidelberg.de/~gasenzer/	University of Heidelberg	Germany		49.4191402	8.6702492	Theory	Our research is focused on the many-body dynamics of ultracold quantum gases far from thermal equilibrium, in particular for systems where strong correlations between the particles are important. We are applying and further developing recent substantial innovations in non-equilibrium quantum field theory for ultracold atomic gases. The functional field theory methods involve non-perturbative approximation schemes which recently have shown, by comparison with exact results, to excellently describe the far-from-equilibrium long-time dynamics of systems, even for strong interparticle forces. With this step a whole new class of phenomena can be accessed.	PD Dr. Thomas Gasenzer	theory	
Gawlik Group	http://www.if.uj.edu.pl/ZF/qnog/	Univ. Krakow & Nat.Lab Torun	Poland		50.029727	19.904759	Exp	MOTs & optical traps, spectroscopy, diagnostics, optical lattices, Rb87-BEC in MT, work towards all-optical BEC and towards optical Sr clock	Michal Zawada, Jerzy Zachorowski, Wlodzimierz Jastrzebski, Tomasz Brzozowski, Maria Brzozowska	Rb, Sr	Location from webpage (Łojasiewicza Str. 11).
Gerbier Group	http://www.lkb.upmc.fr/boseeinsteincondensates/gerbier/	LKB, ENS Paris	France		48.8422058	2.3451689	Exp	Mesoscopic BECs,, BEC in artificial gauge potentials	Jean Dalibard (College de France),, Jérôme Beugnon (MdC UPMC),, Fabrice Gerbier (CNRS)	Rb, Li, Dy, Yb, Na, He, Sr	See also Chevy group, Cohen-Tannoudji group, Gerbier group, Glorieux group, Leduc group, Reichel group, Salomon group.
Ghosh Group	http://web.iitd.ac.in/~sankalpa	Physics Department, Indian Institute of Technology Delhi	India		28.5449756	77.1926284	Theory	We have been working on the following subtopics in cold atomic physics        1. Ultra cold atoms under the action of synthetic gauge field ( abelian and non-abelian): Vortices        3. Investigation in super-solid phase with ultra-cold atoms        4. Ultra cold atoms loaded a optical cavity        Here are links to some recent interesting publications:                Kaleidoscope  image in Physical Review A, June (2012)        Link:http://pra.aps.org/kaleidoscope/pra/85/6/063606                Kaleidoscope image in Physical Review A, January (2012)        Link:http://pra.aps.org/kaleidoscope/pra/85/1/013642                Vortices in a supersolid        See the paper in        http://pra.aps.org/abstract/PRA/v82/i6/e063617        http://iopscience.iop.org/0953-4075/48/10/105301        See our recent work (with Bikash Padhi)        Synthetic Landau Levels of Ultra Cold Fermions in a cavity        http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.111.043603        spin-orbit coupled BEC in  cavity        http://journals.aps.org/pra/abstract/10.1103/PhysRevA.90.023627	Sankalpa Ghosh (PI)                Former Graduate Student: Dr. Rashi Sachdeva (Ultra cold supersolid phase presence of Gauge field, currently in Okinawa Insitute of Science and Technology)        Dr. Jasleen Lugani (Now in France ).        Current Graduate student Inderpreet Kaur        Former Master's and Undergraduate Project students : Adhip Agarwal and Madhurima Nath (2011-2012), Akshay Kumar ( 2010-2011), Gangandeep Singh and G. Bhubanesh ( 2009-2010), Sonika Johri, Kanchan Gehlot and Vishwanath Shukla (2008-2009), Chaitanya Joshi (2007-2008), Emroj Hossain (2013-2014), Bikash Padhi (2012-2014)        Rahul  Walia ( 2014-2015)	Li, theory	
Gibble Group	http://www.phys.psu.edu/~kgibble/	Penn State	United States of America		40.7982133	-77.8599084	Exp			Rb, Cd	
Glorieux Group	http://www.quantumoptics.fr	LKB, ENS Paris	France		48.8422058	2.3451689	Exp	Quantum fluid of light, quantum simulation, nanophotonics		Rb, Li, Dy, Yb, Na, He, Sr	See also Chevy group, Cohen-Tannoudji group, Gerbier group, Glorieux group, Leduc group, Reichel group, Salomon group.
Goldwin Group	http://mpa.ac.uk/muarc/people/jongoldwin.html	University of Birmingham	United Kingdom		52.4508168	-1.9305135	Exp	Cavity QED,, quantum degenerate Fermi gases.		Rb	See also: Bongs group, Boyer group, Goldwin group.
Gorceix Group	http://www-lpl.univ-paris13.fr:8082/	Université Paris Nord / CNRS	France		48.956155	2.341454	Exp	Our experiment creates dipolar Bose Einstein Condensates (BECs) of Cr atoms. In the last decade, the study of such ultracold atom gases has become an interdisciplinary and fascinating field. The realization of degenerate quantum gases opens the way to perform fundamental studies in quantum physics with an almost ideal dilute system displaying tunable properties (density, temperature, interaction strength, ...). This model system can be studied in a highly versatile environment since confining potentials can be tailored at will. Furthermore, since the analysis protocols benefit from the reliability of the laser spectroscopy techniques, the comparison between experimental outcomes and theoretical predictions is much sounder than what is usually met in condensed matter.                To date the available atomic quantum gases are made of atoms interacting through isotropic short-range potentials. The long-range anisotropic dipole-dipole interaction between atoms carrying a large magnetic moment is expected to induce a wealth of new properties. For example, a supersolid phase arises when a dipolar quantum gas is transfered  in a 2D lattice.        The magnetic dipole moment of chromium in the ground state is 6µB. Due to this exceptionally large dipole moment, chromium degenerate gases represent ideal systems to investigate quantum dynamics under the influence of dipolar interactions.        As a first stage to reach degeneracy, we set up a magneto-optical trap for the most abundant bosonic isotope 52Cr and for the fermionic isotope 53Cr. The two isotopes can be trapped separately as well as simultaneously producing a cold dipolar boson-fermion mixture. We studied the collisional properties of these cold gases. In a second stage, several millions 52Cr atoms are optically trapped at the focus of a powerful infrared laser at a temperature on the order of 100µK. Finally, we evaporatively cool the trapped 52Cr atoms down to degeneracy.        We have studied the collective excitations of the chromium BEC and demonstrated the impact of the anisotropic dipole-dipole interactions on the frequencies of the low-energy collective vibration modes of the trapped BEC. In a further set of experiments, we have studied S=3-spin dynamics using our Cr-BECs either in 3D or in restricted 2D and 1D geometries. At very low magnetic fields, spontaneous demagnetization occurs which enables the study of the S=3-spinor physics.        We plan to reach degeneracy for the fermionic isotope 53Cr , and to create strongly correlated systems, by extending our current experiments on the loading of our condensates into optical lattices. This will meet the current burst of interest in the statistical physics of such systems related to the field of quantum magnetism and will open new avenues for the processing of quantum information.                Selected recent publications        Q. Beaufils et al, All-optical Bose-Einstein Condensation of Chromium, Phys. Rev. A 77, 061601 R (2008),,        G. Bismut et al., Collective excitations of a dipolar BEC, Phys. Rev. Lett., 105, 040404 (2010),,        B. Pasquiou et al., Spin relaxation and band excitation of a dipolar BEC in 2D optical lattices, Phys. Rev. Lett. 160, 015301 (2011)	Olivier GORCEIX, Pr. (group leader),                Bruno LABURTHE-TOLRA, CNRS Research Associate,        Etienne MARECHAL, CNRS Engineer,        Paolo PEDRI, Assistant Professor,        Laurent VERNAC, Assistant Professor,                Gabriel BISMUT, PhD student,        Benjamin PASQUIOU, PhD student,	Cr, Sr	Location of Université Paris 13.
Greene Group	http://fermion.colorado.edu/~chg/NewPages/	JILA, Boulder	United States of America		40.0074363	-105.2686481	Theory			theory	
Greiner Group	http://greiner.physics.harvard.edu/	Harvard	United States of America		42.3770029	-71.1166601	Exp			Rb, Li, Er	
Grimm Group	http://www2.uibk.ac.at/exphys/ultracold/	Innsbruck	Austria		47.2692124	11.4041024	Exp			RbCs, Cs, LiK, KCs, DyK	See also Ferlaino group. Possibly also Cr.
